,x,y
908902400,5.866625,5.387419
965091329,5.6464057,5.363892
978149378,5.165917,6.08956
834891776,8.341327,4.014475
897003522,6.2735915,3.5557365
989409283,5.618887,1.807391
993546249,3.8981674,4.1508613
1039273993,4.0795407,1.601392
716853260,1.6836003,4.0196714
919109645,5.669875,4.4291835
1039564816,3.232292,2.6124637
680574993,7.6359324,3.388892
972447764,4.3377404,2.088455
972537876,5.4305944,2.0664964
823218199,4.747249,9.088289
893366298,1.7198775,4.848154
1010978844,4.7764673,2.4382205
895557666,3.8787127,4.895557
904626210,8.593172,3.8308516
941719587,8.386974,4.773734
944750626,5.3423014,10.12957
967385130,5.366164,1.9760798
825430061,2.6246743,3.0157554
965861424,5.480234,9.613658
742940722,5.4390945,2.089869
922742835,1.8872836,5.3377337
964894772,5.1146693,1.8188065
992219189,2.5683386,2.8721259
728498232,8.768103,4.228532
896692280,4.565548,10.241331
940798014,4.311659,1.9230772
947396671,4.6812444,9.990999
971702340,4.7003217,6.9712343
763994181,1.6628727,4.748358
896897092,3.2118797,3.6218557
1010970692,4.6928554,2.1883018
742596680,6.3203278,5.9530234
672645198,8.168639,3.845742
972419157,3.8252535,4.920376
953065561,2.9435909,4.4616356
912289883,1.836399,3.8679419
950243428,6.0089006,9.285767
965795941,7.5451813,5.230686
956141669,5.5901346,3.196255
957296740,4.0199547,4.9858065
730820711,5.287043,4.59577
645955689,4.104459,9.190612
646553705,8.306029,4.5997195
904839273,4.454914,6.824535
636784746,6.686678,4.0436306
906485870,5.172894,6.6058793
628633713,6.5888605,4.1377754
899481714,4.266717,5.0305777
899711102,2.9751382,5.2759476
642777215,3.5122738,4.266845
646836355,4.6667643,4.161277
731877507,3.3681877,3.0163116
932130950,5.5711336,9.246774
740290698,1.6139567,5.2124925
825389194,1.478016,3.8865948
1036259470,3.391991,1.8686258
912322706,6.6354904,4.884944
988975250,3.2886667,1.948624
965591192,5.9008465,3.93168
973488284,5.532454,10.141564
896110766,5.7048187,6.773243
908644527,5.1689043,10.186158
645529777,7.903273,4.115753
914432180,3.4530082,1.86163
645648565,9.282197,3.8738303
899473601,5.072978,7.099142
902369477,5.2559805,5.01904
820945099,5.4753766,9.147426
716853454,6.770679,4.698208
970760401,4.6339617,10.358854
983916754,7.084703,5.0567083
764477652,3.2895281,2.8958251
904036565,8.484746,4.1884127
827969748,4.465779,7.108944
896602326,5.004058,6.9748545
920826071,6.303808,3.6480258
908894436,6.65702,4.8068614
698237160,7.4773645,7.474239
978669806,3.7940612,2.59167
644964595,7.8184032,3.3434753
989163765,6.5072875,5.256974
904945911,6.1407433,4.8659873
1006178551,4.3041086,1.7549142
995574011,5.314027,6.6805043
679010561,1.9966086,3.5608335
912589058,4.2915983,6.315544
919085315,2.6587594,3.9352486
908632324,4.2061872,9.024887
640106757,5.0530887,3.8567705
957120771,5.717385,9.6164665
695406854,7.1675,3.7360203
970080520,7.3437686,8.103158
645443849,3.9582582,3.6455839
1044021521,7.4357953,7.5414324
716779804,2.3303144,4.8211966
813003041,4.554489,6.6747203
1010692386,3.6421685,1.7057709
898949412,4.824682,9.705121
970723621,4.238817,9.621727
645447975,4.8977056,7.1891046
847880487,2.966348,5.258726
907133224,4.647668,3.0514371
853618984,7.726497,4.572731
679211312,4.4145226,3.445151
990347572,1.9498539,5.1497335
976957750,7.055005,3.2232013
904819001,7.9017916,4.529345
926761275,4.1909275,7.531141
648143167,4.966289,7.0393744
929542471,3.4743433,2.9598079
982741319,4.283267,2.9493954
935194956,6.914302,4.699735
853868880,4.0896926,2.2429974
921710929,1.4631433,5.39829
990548306,5.105646,1.916952
727134547,3.2837698,1.9439764
945848661,3.5895283,2.7400403
853692765,5.6058784,4.800473
970084701,3.7830043,2.426846
972443999,5.624539,1.9101497
947183968,4.581815,2.9565234
906510693,4.520672,3.0737119
950034792,1.7653811,3.9418712
764494187,3.29399,3.1348946
982724976,5.557802,2.8948503
914399613,5.3262277,9.427668
975282560,4.620352,7.3602386
645529985,4.4440565,7.8609767
644858243,2.26699,4.69541
834908547,8.478101,3.5933454
645902724,7.390938,8.047669
950284677,4.2840066,9.716804
908669318,5.502789,9.61262
992760205,4.4893656,3.6419785
764498318,8.780109,3.8987036
994718096,4.2920427,9.225628
646545810,7.588591,5.147395
998064533,5.072721,10.060732
907465109,4.504878,4.3124313
902349213,7.9937677,5.177021
916537758,8.630049,4.439761
643506594,5.5047374,2.8465314
826782115,5.6000476,7.0294285
893354404,4.4456334,1.8447841
898683305,4.87526,10.336798
651055533,4.1148195,9.387784
819950000,4.2153563,2.8477983
919699890,2.531544,3.826475
947286448,5.303541,3.1405005
646828468,8.587788,4.264525
969580983,4.261085,2.0778952
971575743,5.9722004,2.989277
986853824,5.2690635,5.411035
699818438,5.363186,5.501328
950272456,4.632268,8.848251
973832650,5.0937214,4.588533
716591562,5.8194413,6.4985294
853901772,2.035255,3.1668825
982589904,5.6303363,1.8244117
841871826,2.7440894,3.1053271
948376025,4.7488737,8.31634
882733530,4.673994,4.691305
969200089,5.0017815,10.264528
645542364,4.841427,9.548304
916627946,5.2457,3.4856732
898953706,4.731256,7.0253425
969998828,2.7945113,4.240728
742019567,5.172369,1.7672259
912085494,3.5783322,5.2826915
962105846,2.5031302,5.5770473
916681208,5.8189554,9.768342
915788289,5.9239454,4.9934845
975405575,4.517751,3.5568347
841810440,8.408377,4.2616906
1036186120,3.8623347,2.1580617
867099146,5.6283617,9.674785
680858122,2.5369098,3.4665942
653193740,8.727292,4.068274
951722517,3.766751,3.7930706
965771797,5.4160285,5.9547563
962261526,2.4642272,4.5231752
961114647,7.1661987,7.9903784
989467159,6.016377,3.261398
904876570,5.1004333,6.4789047
896877084,2.851032,3.824802
902357532,8.374231,3.785542
643510812,3.5664666,2.2038026
986231328,2.4263208,3.915769
1000780329,5.355352,9.154698
645354028,4.2084374,4.602456
908628525,5.700541,2.7061062
940794414,4.6477714,10.22224
867742255,7.1910477,4.1476192
914354735,5.4366727,9.052402
972517935,5.079618,4.5712953
982745652,5.736776,9.625252
916582970,3.5838158,2.0254097
841888315,4.9277487,6.50757
645530172,5.0068483,3.6222925
901403196,4.450981,9.547224
984027717,3.3675015,2.2452512
947139142,1.8252437,4.893158
681931335,7.6409464,3.4267523
956084807,3.15566,3.6802201
961241673,6.667568,8.274684
882795087,3.0552876,2.9309494
921637459,2.5850005,4.311105
694841940,5.56149,2.9073188
990282326,4.9104247,6.958615
896860760,3.5249686,4.3402543
978162264,4.7359266,3.3324585
737997401,3.5102746,5.0565314
1000153691,4.291062,3.0290043
972489317,7.287848,5.0317607
927797864,6.1758337,4.6486664
830435948,4.790089,8.799567
698675821,7.3373423,8.115284
912573042,6.3409534,4.8266954
1000612469,5.5635486,4.1486483
975282813,3.842817,4.3015914
898929277,4.328198,5.1406136
896053888,3.7413268,4.7448363
764056194,2.6558743,2.8593488
743027332,5.35309,2.618023
851632776,5.166758,5.2027736
903864968,7.906707,4.031082
653197964,5.451509,5.482868
681636493,4.495443,9.838395
965771919,4.6999354,8.512006
880784016,1.9154031,4.9585257
739840659,1.8265581,4.844942
847876759,2.0500212,3.6799064
644821657,4.4404197,8.241459
960656026,4.8869996,9.29259
642753179,4.664875,4.217099
853471899,6.618601,3.8216555
845402780,5.1749625,6.2776
963220125,5.583471,2.8620722
986231454,5.435628,3.9845483
990352026,6.4203854,3.6870081
912896677,5.2125583,3.5802956
