region,AICc,logLik,model_type
ipsi_VISam,38.6836754045648,-18.27732157325014,null
ipsi_VISpm,47.84643850526787,-22.858703123601675,null
ipsi_VISrl,40.801905066098875,-19.336436404017178,null
ipsi_CP,42.61409552223042,-20.24253163208295,null
ipsi_VISl,47.84643850526786,-22.85870312360167,null
ipsi_VISpor,36.23476925096077,-17.052868496448124,null
ipsi_RSPagl,42.61409552223042,-20.24253163208295,null
ipsi_VISal,33.42222691988179,-15.646597330908634,null
ipsi_VISli,30.200699620699794,-14.035833681317639,null
ipsi_VISpl,33.42222691988179,-15.646597330908634,null
ipsi_RSPd,42.614095522230414,-20.242531632082947,null
ipsi_VISa,33.42222691988179,-15.646597330908634,null
ipsi_ACAd,33.42222691988179,-15.646597330908634,null
ipsi_MOs,38.6836754045648,-18.27732157325014,null
contra_VISp,38.6836754045648,-18.27732157325014,null
ipsi_VISam,28.660240701485076,-9.615834636456825,surface
ipsi_VISpm,31.766506760033142,-11.168967665730857,surface
ipsi_VISrl,28.97548003284538,-9.773454302136976,surface
ipsi_CP,41.377877232758635,-15.974652902093602,surface
ipsi_VISl,50.71159613509573,-20.64151235326215,surface
ipsi_VISpor,42.5321240186158,-16.551776295022183,surface
ipsi_RSPagl,43.96940204411258,-17.270415307770573,surface
ipsi_VISal,40.7217660903887,-15.646597330908635,surface
ipsi_VISli,37.50023879120671,-14.035833681317639,surface
ipsi_VISpl,32.89619021203533,-11.733809391731949,surface
ipsi_RSPd,46.5221388640558,-18.546783717742183,surface
ipsi_VISa,18.930265768957714,-4.7508471701931425,surface
ipsi_ACAd,31.85852176798431,-11.214975169706442,surface
ipsi_MOs,24.768098451634845,-7.66976351153171,surface
contra_VISp,32.13447668931276,-11.352952630370668,surface
ipsi_VISam,36.98440028696262,-12.381089032370198,lf
ipsi_VISpm,38.816979118595256,-13.297378448186517,lf
ipsi_VISrl,40.55294546452889,-14.165361621153334,lf
ipsi_CP,40.04319361373383,-13.910485695755801,lf
ipsi_VISl,50.742754969401716,-19.260266373589747,lf
ipsi_VISpor,43.77386902366761,-15.775823400722695,lf
ipsi_RSPagl,32.448162697062536,-10.112970237420155,lf
ipsi_VISal,40.29898963588983,-14.038383706833805,lf
ipsi_VISli,39.07502159605824,-13.426399686918012,lf
ipsi_VISpl,41.77232843619442,-14.775053106986098,lf
ipsi_RSPd,34.8858937374766,-11.331835757627188,lf
ipsi_VISa,39.12303896763967,-13.450408372708726,lf
ipsi_ACAd,32.17213852753955,-9.974958152658663,lf
ipsi_MOs,36.48851835054008,-12.133148064158933,lf
contra_VISp,36.546135971786235,-12.161956874782005,lf
ipsi_VISam,36.12589032222534,-7.062945161112669,full
ipsi_VISpm,34.29508099186781,-6.147540495933906,full
ipsi_VISrl,35.39146500146427,-6.6957325007321336,full
ipsi_CP,52.77606995429538,-15.388034977147692,full
ipsi_VISl,53.59916795323198,-15.799583976615988,full
ipsi_VISpor,42.65000154536103,-10.325000772680514,full
ipsi_RSPagl,39.430506020189256,-8.715253010094626,full
ipsi_VISal,50.68755521378075,-14.343777606890374,full
ipsi_VISli,50.05484937409492,-14.02742468704746,full
ipsi_VISpl,42.92659532202937,-10.463297661014684,full
ipsi_RSPd,50.17928350875346,-14.089641754376727,full
ipsi_VISa,29.26047399607004,-3.630236998035019,full
ipsi_ACAd,36.7699827997304,-7.384991399865199,full
ipsi_MOs,28.785054883576684,-3.392527441788343,full
contra_VISp,40.13863722620809,-9.069318613104043,full
