"","x"
"1","Synpr"
"2","Cplx3"
"3","Ctgf"
"4","Tnmd"
"5","Npy"
"6","Tnfaip6"
"7","Serpinb2"
"8","Atf3"
"9","Tac1"
"10","Trh"
"11","Penk"
"12","Pcp4"
"13","Sst"
"14","Myl4"
"15","Dcn"
"16","Dqx1"
"17","Nnat"
"18","Crh"
"19","Malat1"
"20","Nmu"
"21","Calb1"
"22","Nxph1"
"23","Scg2"
"24","Rrad"
"25","Lamp5"
"26","Rerg"
"27","Chrna6"
"28","Tshz2"
"29","Ptgs2"
"30","Crct1"
"31","Lypd1"
"32","Nr4a2"
"33","Cd24a"
"34","Serpini1"
"35","Bdnf"
"36","Rab3b"
"37","Rgs4"
"38","Fst"
"39","Car2"
"40","Cck"
"41","Mgp"
"42","Rn18s-rs5"
"43","Malrd1"
"44","Camk2n1"
"45","Serpine2"
"46","Arpp21"
"47","Lxn"
"48","Enpp2"
"49","Ddit4l"
"50","Meg3"
"51","P2ry12"
"52","Gnb4"
"53","Fam19a1"
"54","Ptn"
"55","Gal"
"56","Ly6d"
"57","LOC105243317"
"58","Plcxd2"
"59","Nmb"
"60","Draxin"
"61","Hsd11b1"
"62","Arc"
"63","A430085M09Rik"
"64","Crym"
"65","Kcnip1"
"66","Oprk1"
"67","Fos"
"68","9430018G01Rik"
"69","R3hdm1"
"70","Pdyn"
"71","Etv1"
"72","LOC105245280"
"73","LOC105244562"
"74","Olfm3"
"75","Rorb"
"76","Nefl"
"77","Tfap2d"
"78","Nptx2"
"79","Snhg11"
"80","Rprm"
"81","Dsp"
"82","Egr1"
"83","Sprr1a"
"84","Zcchc12"
"85","LOC105242648"
"86","Bub1"
"87","Tnnc1"
"88","Il1rl1"
"89","Cenpf"
"90","Cbln4"
"91","LOC545466"
"92","Klk1b19-ps"
"93","Id2"
"94","Rasl11a"
"95","Rab3c"
"96","Cyr61"
"97","Egr4"
"98","Ctxn3"
"99","Nrsn1"
"100","Chgb"
"101","Adcyap1"
"102","Wls"
"103","Aldoc"
"104","Timp1"
"105","Muc4"
"106","Gli2"
"107","Agtr2"
"108","3110035E14Rik"
"109","Amigo2"
"110","Junb"
"111","Col24a1"
"112","Slc17a8"
"113","Rcan2"
"114","Igfbp4"
"115","Inhba"
"116","Moxd1"
"117","Coch"
"118","Grp"
"119","Aox1"
"120","Nr4a1"
"121","Fam150b"
"122","LOC105243112"
"123","Il5"
"124","LOC101056001"
"125","Trhr"
"126","Dspp"
"127","Dlx6os1"
"128","Rxfp1"
"129","Snap25"
"130","Matn1"
"131","Rp1l1"
"132","Mas1"
"133","Nrn1"
"134","Dnah11"
"135","Tmem163"
"136","Sparcl1"
"137","LOC105243676"
"138","Prkcq"
"139","Slc1a2"
"140","Ttn"
"141","Nrip3"
"142","Cryab"
"143","Cdh13"
"144","Mybpc1"
"145","Atp1a3"
"146","Nefm"
"147","Nrsn2"
"148","Rspo1"
"149","Zp2"
"150","LOC105246365"
"151","Itm2a"
"152","Deptor"
"153","Fezf2"
"154","Cartpt"
"155","Enpep"
"156","Gap43"
"157","Car3"
"158","Kcnq1ot1"
"159","Mup5"
"160","Tnfrsf18"
"161","Lypd6b"
"162","Pamr1"
"163","Sla"
"164","Hs3st2"
"165","Col5a1"
"166","Htr2c"
"167","Vmn2r-ps119"
"168","LOC105246391"
"169","Casp8"
"170","LOC105246140"
"171","Col6a1"
"172","Agbl2"
"173","S100a10"
"174","B230216N24Rik"
"175","Car4"
"176","Adamts1"
"177","Foxp2"
"178","Pgr15l"
"179","Ndn"
"180","Efr3a"
"181","Bglap3"
"182","Pcdh8"
"183","Cdhr1"
"184","Hapln1"
"185","C4bp"
"186","9530091C08Rik"
"187","Bnc2"
"188","Nrep"
"189","LOC105245700"
"190","Clic6"
"191","Fam3c"
"192","Fam83d"
"193","Cpne6"
"194","A730046J19Rik"
"195","LOC105246571"
"196","Rxfp2"
"197","Pvalb"
"198","LOC105245460"
"199","Tinag"
"200","LOC105242887"
"201","LOC105244673"
"202","Blnk"
"203","Dcxr"
"204","LOC105245312"
"205","Ptprc"
"206","Ly6g6e"
"207","Defb1"
"208","Emcn"
"209","D130037M23Rik"
"210","Ifitm2"
"211","Lars2"
"212","Dner"
"213","LOC105245695"
"214","Rbm6-ps2"
"215","Abca12"
"216","LOC105243229"
"217","D1Pas1"
"218","Pde1a"
"219","Qrfpr"
"220","Gadd45a"
"221","Mia"
"222","Nrxn1"
"223","Sla2"
"224","4921501E09Rik"
"225","Fut1"
"226","Adcy2"
"227","Nr2f2"
"228","Clca4a"
"229","Vwc2l"
"230","Cd74"
"231","LOC105245622"
"232","Bhlhe40"
"233","Axl"
"234","Lyz2"
"235","Dsc1"
"236","LOC105247143"
"237","LOC105243956"
"238","Abcc2"
"239","H2-T23"
"240","Hpcal1"
"241","Gng12"
"242","Thbs1"
"243","Ccnb1ip1"
"244","Mgat4c"
"245","Neat1"
"246","Tle4"
"247","Cldn5"
"248","Tmsb4x"
"249","LOC105243118"
"250","Lrit3"
"251","Pdp1"
"252","Tsnax"
"253","Vmn2r-ps56"
"254","Slc15a5"
"255","Nxf3"
"256","Neto2"
"257","Chrnb3"
"258","Tmem154"
"259","Syt17"
"260","Brinp3"
"261","Tcrb"
"262","Abtb2"
"263","Nxpe1-ps"
"264","Gpr88"
"265","Wscd1"
"266","Ncald"
"267","Cdk15"
"268","LOC105246574"
"269","Abca15"
"270","LOC105244629"
"271","Pak1"
"272","S100a6"
"273","Neb"
"274","Pvrl3"
"275","Cd164"
"276","LOC105244376"
"277","LOC105243242"
"278","Serpinb1-ps1"
"279","8030474K03Rik"
"280","Zmat4"
"281","Marcksl1"
"282","Kynu"
"283","Slc25a31"
"284","Tlr3"
"285","Vmn2r-ps97"
"286","Sec31b"
"287","Fhl5"
"288","Scn7a"
"289","Chrdl1"
"290","LOC105242963"
"291","Rasl10a"
"292","Syt6"
"293","Rag1"
"294","1700123K08Rik"
"295","Rsad2"
"296","Stk17b"
"297","Phldb2"
"298","Dusp1"
"299","Rreb1"
"300","LOC105245021"
"301","LOC105244512"
"302","LOC105243127"
"303","Cdkn1a"
"304","Stag3"
"305","Rora"
"306","Dkkl1"
"307","Fn1"
"308","LOC105243466"
"309","Fgf21"
"310","Nxph2"
"311","Rims3"
"312","Cpe"
"313","Stard5"
"314","Cabp2"
"315","Pcsk1"
"316","Etv3l"
"317","LOC105245174"
"318","Oasl2"
"319","Tlr7"
"320","Pea15a"
"321","Col10a1"
"322","Cpne4"
"323","Urah"
"324","Mc4r"
"325","LOC105243468"
"326","Trp53i11"
"327","Gk2"
"328","Serpinb5"
"329","LOC105246440"
"330","Camk4"
"331","Brinp1"
"332","Lpl"
"333","LOC105244115"
"334","Trpc3"
"335","Prkcg"
"336","Dgkb"
"337","LOC105244552"
"338","Prkcb"
"339","LOC105246510"
"340","Slfn2"
"341","Igfn1"
"342","Edar"
"343","Slc17a6"
"344","Rheb"
"345","Agmo"
"346","Wfs1"
"347","B2m"
"348","Gdpd2"
"349","Megf10"
"350","LOC102641078"
"351","Olfr56"
"352","Epha4"
"353","LOC105244707"
"354","Krt16"
"355","Calcrl"
"356","Rlbp1"
"357","Apobec3"
"358","Mylk4"
"359","Dusp14"
"360","LOC105246450"
"361","Cplx1"
"362","Ptx3"
"363","LOC105245313"
"364","Spag11b"
"365","Ldlrap1"
"366","Klhl30"
"367","Chrm2"
"368","Gpr158"
"369","LOC105243499"
"370","Lcp1"
"371","Spock3"
"372","AI593442"
"373","Apoe"
"374","Tpbg"
"375","Chrnb4"
"376","Klk7"
"377","Rgs2"
"378","Garnl3"
"379","Scg3"
"380","Thsd7a"
"381","Plekhb1"
"382","C330002G04Rik"
"383","Fmr1nb"
"384","Gpr152"
"385","LOC105247131"
"386","Prss23"
"387","Cacna2d3"
"388","Fam19a2"
"389","Dmkn"
"390","Itih3"
"391","LOC105242387"
"392","Plekhg6"
"393","Chrng"
"394","B3galt2"
"395","Cpne9"
"396","Tmem145"
"397","Cdh19"
"398","LOC105244139"
"399","Pcp4l1"
"400","Ppp3ca"
"401","Nov"
"402","Prokr2"
"403","Efhd1"
"404","BC030870"
"405","Nlrp1a"
"406","LOC105243327"
"407","Chrna5"
"408","BC028528"
"409","Gstt3"
"410","Lingo1"
"411","Gad1-ps"
"412","P2ry1"
"413","Hpcal4"
"414","Ptprd"
"415","Stxbp6"
"416","Car12"
"417","Tnc"
"418","Rnd3"
"419","Cd302"
"420","T"
"421","LOC105245727"
"422","Duoxa2"
"423","C230024C17Rik"
"424","Egr3"
"425","LOC105244111"
"426","C030013G03Rik"
"427","Cd52"
"428","Alpk3"
"429","Satb1"
"430","Ucp3"
"431","LOC105242987"
"432","Patl2"
"433","LOC105243647"
"434","Kcnab1"
"435","Csf1r"
"436","Tbx15"
"437","Ak7"
"438","Btbd3"
"439","Tspo2"
"440","Rgs9bp"
"441","LOC105244416"
"442","Cd9"
"443","Cox6a2"
"444","Dlk1"
