"","PC1","PC2","PC3","PC4","PC5"
"Tnfaip6",0.196596507575632,-0.0384331831552505,0.00908997455041827,-0.0033236747089284,0.0449046188656444
"Atf3",0.0213249811006094,-0.0180951332571769,0.0224474101870252,0.00335248894127322,0.0299641817496624
"Sst",0.0217943495732797,-0.00706326190247214,0.0198232419080431,-0.0193478890304691,-0.000110258856497319
"Penk",0.117289094385526,0.180031924943224,0.237908214607822,0.0882958523357771,-0.0557203122030602
"Serpinb2",0.0106304722247442,-0.0123896312472628,0.010806979675727,0.000498073934642039,0.0130363756794969
"Cd24a",0.0175912397697602,-0.0620111998591737,0.0456565000007386,-0.0398138835427817,0.0639421809180649
"Ptgs2",0.190170487704661,-0.0204883718255908,0.147666517101444,-0.0536757011815497,0.00442490879441404
"Scg2",0.158193252007289,0.104559995404853,0.0987502910164842,-0.094649788067912,0.12217800478698
"Rrad",0.0696806442666924,-0.0785740103529198,0.0860360484990278,-0.040163884645022,0.0295005301223889
"Crh",0.041621541394328,0.0541747762167683,0.0573623851736425,0.0375911478762572,-0.00177573415972755
"Nefl",0.0646910606555491,-0.0662044713061477,0.0421371242436311,-0.0182593640787853,-0.0623540519057938
"Fst",-0.0146544346789095,-0.232424529288976,-0.0417423323315963,-0.0885323531587213,0.0449585984328841
"Bdnf",0.199495047474527,0.0690839891258808,0.0563973272424555,-0.089285665839939,0.0429772583664621
"Cyr61",0.0621863786084807,-0.00735047445072797,-0.0325681981446408,0.0645140341201661,0.054448239663926
"Malat1",0.00625484555733742,0.0101551730167299,-0.00145781591580167,-0.0190375412813927,0.00549868904460537
"Arpp21",0.0387972316342957,-0.0511062076177953,0.00948494588854715,-0.035267055915489,-0.0284009872943712
"Fos",0.179278653837577,-0.065008604962326,-0.16762122590631,0.262799771614742,0.122086835081645
"Nr4a2",0.18210951920657,-0.119413234312341,-0.00132550147152695,0.00598651274912679,-0.0563351210004291
"Nptx2",0.194932375159049,0.0424665988242794,0.176866041157649,-0.0140227565171591,-0.0310190609730244
"Rheb",0.0485813793494576,-0.0503581388020871,0.0254665637384975,-0.055441779292315,-0.00855751723630992
"Rn18s-rs5",-0.000690768584224583,0.00634683597497603,-0.0100644520157589,-0.0346486955511994,-0.025599634258668
