"","PC1","PC2","PC3","PC4","PC5"
"Dqx1",0.00327030922142136,0.00396125410319674,-0.00236567290061512,0.00917902376291639,-0.000652433748760959
"Fos",-0.00227313034671106,-0.0719182332418142,0.227416898640505,0.274265380924279,-0.0785030579336824
"Scg2",0.030411603907199,0.00393319627916736,0.12606109739141,-0.0291577766648139,-0.0227783374031403
"Cyr61",0.0361647391647172,-0.0476907135318376,0.082995872050243,0.0860685403424074,0.0212224277308017
"Pdyn",0.0147924363628537,-0.0296557284116293,0.0681947233236804,-0.0612838761107733,0.00510937536929894
"Pcp4",0.056612995133156,0.0221284978546695,-0.0164250652031084,0.019716043005701,0.0248406702702478
"Cenpf",-1.13171913317331e-05,-0.00188062107533726,0.0148467785732824,0.000451448392166542,0.00011335078460941
"Inhba",0.0253228691106034,-0.064234908415732,0.0778831472915085,0.026331638898194,0.0548958306780122
"Malat1",-9.38308527560864e-05,0.00185113402995833,0.0123620922714161,-0.00194333606013694,-0.00695737533132729
"Lypd1",-0.00966218491323324,0.0100923944786116,-0.0311703172302833,0.0358409701783926,-0.0268957173300151
"Penk",0.0206004464649835,0.00214743355292428,0.000295869122958554,0.0225666791179422,0.0316118401824828
"Tac1",-0.0512809955815671,-0.00289051178010861,0.0657784771261516,-0.00202541088574141,0.0811808494358902
"Ak7",-0.00643323553014814,0.0107313067118515,-0.00692674742235259,-0.00536594820585538,0.00498288371917996
"Mgp",0.0747754603236517,-0.107204818394535,-0.076885601280193,-0.0145598933429781,0.0190326110963023
"Pvalb",-0.00939197511067321,0.0917385933620593,0.0227641124175701,0.00202054686904158,0.0193582288202465
"Rab3b",-0.190223440188731,-0.199927447831252,-0.12393772119825,0.0127042689648287,0.121454587212507
"Trh",-0.000833194950963866,0.0087781195412794,0.0167009392921829,-0.0100235152049723,0.000303514119431158
"Sostdc1",-0.0106860765395707,0.00504449195565936,-0.00842481112403734,0.0124357508219488,-0.0195997751629907
"Atp1a3",0.00100523785462759,0.00925296304866686,0.02207655302393,0.0057486157833228,0.00183655592189904
"Egr1",0.0285363285239986,-0.0608258254395512,0.0657727179310015,0.144260947679617,-0.0320163794618442
"Junb",-0.0118996172370563,-0.0929316625200046,0.0859835323083905,0.149801068393433,-0.0331882195372115
"Calb1",-0.136442138601907,-0.116451855168862,0.142269484944359,-0.149006931066314,0.0530993094629947
"Synpr",-0.0861662264676038,0.121065151927017,-0.00440527995004335,0.0749577833781155,-0.087907171158002
"Nr4a2",0.0345889736601814,-0.110898769900251,0.152578968360512,0.169674084593611,-0.0680628131005466
"Nnat",-0.00664772195187307,-0.0762379962772493,0.029004847400967,-0.00754399591203263,0.0563886736099317
"Aldoc",0.00570653766625992,0.111084865495075,0.0553286805853637,-0.0713876384889711,-0.108509779545664
"LOC105246571",0.0010443891448121,-0.00553622971661251,-0.00562651541123823,0.00229630106472441,0.00378116005377935
"Rn18s-rs5",0.000844373321191461,0.000583270709089182,0.0113265904369744,0.00118164528704467,-0.00890034457976508
"Egr4",-0.00210776144998357,-0.0729078671533957,0.115967760568381,0.162475882246084,-0.0778174253275063
