"","PC1","PC2"
"Malat1",-0.00774842767167769,0.0850901548628143
"LOC105243317",-0.00483151407778637,0.00134205260194464
"Meg3",0.00286809351437889,0.132670881387963
"Irgm1",0.00856690846955155,-0.0248411821511411
"Snhg11",0.000922474905279601,0.102415326704304
"Myl4",-0.125413624577079,0.0733931482658097
"Atp1a3",0.0134937668093674,-0.0874617760031806
"Snap25",-0.0388146908912723,-0.0249345627700184
"Rn18s-rs5",0.0132975756356999,0.0600684825411074
"Scg2",0.13846074992096,-0.385122624887541
"LOC105245297",0.000835550921901246,-0.0109815833380393
"A930002C04Rik",0.00266502960990664,0.00587993258856968
"BC028528",-0.0122139887819054,0.00696917594525005
"Chgb",0.0510710254039275,-0.0804665975828491
"Rab3b",0.294257637584293,-0.0246412553036869
"LOC105245021",-0.00950522834902109,0.012334910243716
"Tonsl",0.00671958507972425,-0.00557456872008539
"D130037M23Rik",-0.00247381097808271,0.00581442922430703
"Peak1os",-0.0103798099458478,0.0224641409338686
"Ccdc157",-0.0148033709929679,-0.0218584409444204
"Pcp4",-0.0443044941101527,0.042960504633859
"Aldoc",-0.231208349384095,-0.377978160902067
"LOC105245731",-0.00048619489146598,0.00559351055156629
"Adamts18",0.0153730551258477,0.025219232164877
"Rab3c",-0.2262317369015,0.0487489876478442
"Lrrc19",-0.00417750721462558,0.0302659387253656
"Bglap3",0.0159392270649198,-0.0304650109991537
"Adamts3",0.00683765788476637,-0.0077927904092325
"Rxfp2",-0.0474871092672838,-0.0439724879476094
"LOC105242931",-0.000724471208879715,-0.00102486810129967
"Cd24a",-0.364767726260037,0.104016703735299
"Gpr157",-0.000584667014709145,0.00733429391715351
"Impg2",-0.00606578457412303,0.0212990654503261
"Jak3",-0.00410072857937515,0.0170901137822149
"Spink8",0.0037103302272298,0.00416190769943892
"Nr4a1",-0.0452045603387689,-0.36712601760875
"F630042J09Rik",-0.00474705724670204,0.00775042890145179
"Phf19",0.000818654232597793,0.0134651193147356
"Col6a1",0.119014989927423,0.155449459317088
"Arap2",0.234157597646242,0.117628217316696
"Onecut2",-0.00608633116095844,0.0142058290321652
"Gp1ba",-0.00707723873653462,0.0170059553229993
"Cartpt",0.075512013567935,-0.0962506290707767
"Bub1b",0.00993895061303371,0.00231660370467598
"Zcchc12",0.268963322373287,-0.1503651274111
"Cda",0.000148224437193537,0.00932765464978159
"Ifitm2",-0.070881371935316,-0.0300790758946388
"LOC105242586",0.00514845851784804,0.0248598196594744
"Anxa9",0.00147202671843772,-0.00233244537682692
"Cenpf",-0.00431075068124687,0.0175269765251772
"LOC105245231",0.0056401073927562,0.0347510483366575
"LOC105246642",-0.00885470045816562,-0.0283448337812959
"Epha6",0.00848800396354028,0.0037572326300064
"3110035E14Rik",0.0302969944073772,-0.120606068423825
"A830092H15Rik",-0.00887561379727364,0.0026646709050338
"Lypd1",0.169112459155054,0.0131225888754525
"Calm2",-0.0174970600756001,0.0137085599666178
"4932413F04Rik",-0.00262265047642376,0.0126588467747735
"Clic4",0.000579778165761377,-0.0107640858983697
"Ddr2",0.00719391228274525,0.0136109173290464
"Trh",0.0295394410143213,0.00889690317847963
"Rgs4",0.0115349017649672,-0.133302551030379
"Kcnq1ot1",0.00585766586841574,0.199490396774085
"Chrm2",0.392572432834107,-0.0190943104300954
"Slc29a3",-0.00781768006693551,0.0219223686898319
"Zfp947",0.00709219357714562,-0.00327851663581819
"LOC105244796",-0.00200767233333243,-0.000937473524927176
"Mobp",0.0171418356306329,-0.0326445346464819
"Abca12",0.0176571271950228,0.00930711991004722
"Ly6g6e",0.153560579226464,-0.0220747300967215
"Fstl5",0.0422386008418116,0.0307711298868866
"Apoe",0.0265404525471379,-0.173090054102091
"9530027J09Rik",-0.000308076715606483,0.0175528961860893
